FRAME,OTIME,AREA5,AREA6,AREA7,AREA21,AREA25,AREA30,AREA35,MSKY,FLUX5,FLUX6,FLUX7,FLUX21,FLUX25,FLUX30,FLUX35
113,59813.48001,78.71103,113.6259,153.8997,1385.357,1964.224,2828.278,3849.309,1090.895,3031.933,3318.53,3558.835,3447.664,3729.278,2071.331,1986.07
114,59813.48397,78.81878,113.2264,154.3513,1385.838,1963.317,2827.268,3848.531,1108.432,2661.151,3056.626,3247.102,4087.241,4942.351,7708.854,12531.29
115,59813.48793,78.79468,113.2214,154.4528,1385.822,1963.569,2827.443,3848.422,1107.171,3071.839,3271.117,3347.742,5533.461,7792.655,8665.692,8381.507
116,59813.49191,78.887,113.2672,154.4704,1385.905,1963.074,2827.063,3848.286,1105.179,2943.507,3319.428,3502.738,10197.25,11820.09,12869.12,14574.35
117,59813.49587,78.74615,113.555,154.0321,1385.422,1964.026,2828.091,3849.135,1108.552,2774.681,2891.757,2925.883,4139.428,6746.086,7992.081,9493.39
118,59813.49983,78.84788,113.0536,154.4458,1386.091,1963.31,2827.027,3848.005,1104.664,2231.891,2643.668,2903.255,3875.107,3170.063,5201.562,8259.78
119,59813.5038,79.09481,113.2378,154.5488,1385.756,1962.574,2826.811,3848.327,1119.178,2468.953,2728.657,2876.628,3135.227,2501.488,1818.037,1629.923
120,59813.50777,78.84148,113.2273,154.4325,1385.899,1963.445,2827.327,3848.388,1150.071,2396.698,2905.574,3175.179,2332.29,2018.239,1106.894,3710.074
121,59813.51174,78.67932,113.5192,153.8012,1385.482,1964.429,2828.284,3849.347,1201.383,2450.57,2642.011,2630.381,3952.593,4021.425,4985.815,8236.038
122,59813.5157,78.85151,113.21,154.424,1385.937,1963.454,2827.352,3848.407,1220.482,2618.59,3121.404,3419.854,4348.637,6659.37,10240.53,13751.95
123,59813.51966,78.80753,113.4356,154.1639,1385.525,1963.869,2827.86,3848.923,1238.486,2317.487,2513.827,2553.129,2590.169,3559.229,5353.432,10700.54
124,59813.52364,78.72733,113.5656,153.9155,1385.522,1964.261,2828.234,3849.115,1272.536,3170.81,3298.432,3239,3849.056,4465.361,4124.973,6689.684
125,59813.5276,78.71495,113.5743,153.8799,1385.6,1964.554,2828.389,3848.965,1304.894,2702.608,2965.113,3065.042,3502.305,2664.145,1644.734,4487.365
126,59813.53156,78.8582,113.2034,154.3701,1385.883,1963.588,2827.461,3848.446,1283.344,2101.833,2497.059,2882.774,10288.04,10639.87,10692.37,15671.52
127,59813.53554,78.80899,113.2556,154.3355,1385.816,1963.447,2827.345,3848.435,1297.576,2668.532,2786.271,2722.729,2255.232,3083.059,3675.586,8126.607
128,59813.5395,78.80097,113.3237,154.3039,1385.739,1963.483,2827.435,3848.531,1312.233,2592.603,3029.707,3313.421,5674.084,6881.381,6479.774,11214.67
129,59814.32338,78.67568,113.6485,153.8257,1385.386,1964.313,2828.346,3849.331,1207.911,2536.531,2696.611,2674.457,1460.547,2729.444,2378.608,2910.629
130,59814.32811,78.68029,113.5283,153.7822,1385.457,1964.406,2828.311,3849.357,1175.653,3932.322,4354.529,4743.169,4335.473,4964.457,6066.787,7635.791
131,59814.33207,78.70877,113.5658,153.8733,1385.623,1964.522,2828.383,3849.03,1142.681,3350.199,3696.451,3805.991,5160.804,5824.125,5670.65,5842.686
132,59814.33604,78.67297,113.5649,153.7759,1385.504,1964.439,2828.314,3849.26,1116.484,3523.518,3675.573,3771.712,6797.566,9168.655,10749.92,13401.36
133,59814.34,78.6777,113.5294,153.7981,1385.496,1964.434,2828.285,3849.331,1117.546,3275.923,3339.941,3515.804,5706.99,5833.898,4683.012,3558.359
134,59814.34793,78.82487,113.3323,154.2026,1385.718,1963.562,2827.551,3848.661,1114.129,3392.417,3703.556,3825.49,3591.73,5130.748,6011.663,5922.339
135,59814.35189,78.75318,113.3802,154.1376,1385.886,1963.818,2827.596,3848.633,1111.169,3175.94,3312.475,3097.177,4658.478,4839.128,5276.979,7079.883
136,59814.35585,78.8139,113.3327,154.3127,1385.7,1963.432,2827.419,3848.63,1122.085,5631.146,6139.13,6271.152,6923.836,7061.07,6307.014,4140.123
137,59814.35981,78.9589,113.2267,154.5363,1385.862,1962.926,2826.929,3848.312,1114.398,2896.816,2977.664,3004.171,4350.807,5854.239,6311.538,6793.696
