FRAME,MJDATE,Unnamed:,XAIRMASS,Unnamed:.1,APER5,Unnamed:.2,APER6,Unnamed:.3,APER7,Unnamed:.4,APER21,Unnamed:.5,APER25,Unnamed:.6,APER30,Unnamed:.7,APER35,Unnamed:.8,MAG5,Unnamed:.9,MAG6,Unnamed:.10,MAG7,Unnamed:.11,MAG21,Unnamed:.12,MAG25,Unnamed:.13,MAG30,Unnamed:.14,MAG35,Unnamed:.15,MERR5,Unnamed:.16,MERR6,Unnamed:.17,MERR7,Unnamed:.18,MERR21,Unnamed:.19,MERR25,Unnamed:.20,MERR30,Unnamed:.21,MERR35,Unnamed:.22,FLUX5,Unnamed:.23,FLUX6,Unnamed:.24,FLUX7,Unnamed:.25,FLUX21,Unnamed:.26,FLUX25,Unnamed:.27,FLUX30,Unnamed:.28,FLUX35,Unnamed:.29,SUM5,Unnamed:.30,SUM6,Unnamed:.31,SUM7,Unnamed:.32,SUM21,Unnamed:.33,SUM25,Unnamed:.34,SUM30,Unnamed:.35,SUM35,Unnamed:.36,MAGUNCERT7,MAGUNCERT5
46.0,59812.368792,,1.351,,5,,6,,7,,21,,25,,30,,35,,29.908,,29.868,,29.837,,29.037,,29.061,,28.995,,28.8,,0.047,,0.054,,0.061,,0.105,,0.137,,0.169,,0.181,,2986.834,,3099.593,,3187.157,,6657.9,,6513.865,,6921.916,,8287.173,,81503.8,,116220.4,,156711.8,,1386879,,1962855,,2824192,,3842806,,0.09630988107324,0.0734886510203319
47.0,59812.3728014,,1.332,,5,,6,,7,,21,,25,,30,,35,,29.766,,29.743,,29.716,,29.024,,28.967,,29.041,,28.897,,0.039,,0.046,,0.052,,0.097,,0.117,,0.165,,0.185,,3373.933,,3443.483,,3531.543,,6679.278,,7039.786,,6574.629,,7507.065,,81982.57,,116018.0,,157176.1,,1384347,,1958225,,2816923,,3833362,,0.0834075557173716,0.0636327569799698
48.0,59812.3767657,,1.314,,5,,6,,7,,21,,25,,30,,35,,29.86,,29.801,,29.685,,28.856,,28.832,,28.76,,28.837,,0.052,,0.059,,0.062,,0.104,,0.13,,0.16,,0.22,,3127.075,,3302.204,,3673.977,,7880.94,,8061.739,,8616.259,,8020.182,,80742.63,,115309.0,,155395.4,,1374126,,1945103,,2797621,,3803675,,0.0808504982024924,0.0686548885393713
49.0,59812.3807277,,1.298,,5,,6,,7,,21,,25,,30,,35,,29.77,,29.533,,29.409,,28.616,,28.593,,28.438,,28.556,,0.053,,0.051,,0.053,,0.092,,0.115,,0.132,,0.187,,3405.26,,4237.26,,4752.431,,9861.89,,10069.72,,11622.21,,10419.65,,81228.42,,116122.4,,157026.0,,1377959,,1948615,,2803244,,3810215,,0.0652881506100632,0.0648616635154227
50.0,59812.3846908,,1.283,,5,,6,,7,,21,,25,,30,,35,,29.673,,29.549,,29.502,,28.548,,28.405,,28.388,,28.351,,0.038,,0.04,,0.045,,0.066,,0.074,,0.096,,0.118,,3751.451,,4206.748,,4391.662,,10578.55,,12068.97,,12261.03,,12675.08,,82197.13,,117175.9,,157781.2,,1389499,,1966831,,2827145,,3843961,,0.0725023855690547,0.0597992661867323
51.0,59812.4066354,,1.22,,5,,6,,7,,21,,25,,30,,35,,29.882,,29.807,,29.736,,29.397,,28.909,,28.683,,28.459,,0.06,,0.067,,0.073,,0.193,,0.158,,0.168,,0.175,,3078.965,,3299.897,,3522.472,,4813.456,,7539.684,,9288.608,,11419.32,,78146.05,,111337.6,,150375.4,,1324349,,1877900,,2702650,,3677392,,0.0886468841286115,0.0713289183720683
52.0,59812.4106473,,1.212,,5,,6,,7,,21,,25,,30,,35,,29.766,,29.744,,29.72,,29.552,,29.154,,28.776,,28.75,,0.05,,0.058,,0.066,,0.204,,0.181,,0.169,,0.21,,3460.999,,3530.493,,3610.344,,4216.105,,6080.644,,8612.89,,8819.009,,79380.81,,112908.0,,152045.6,,1339693,,1899131,,2734371,,3718502,,0.0822120404414084,0.0618003130635998
53.0,59812.4146107,,1.205,,5,,6,,7,,21,,25,,30,,35,,29.883,,29.853,,29.823,,29.431,,29.284,,28.709,,28.651,,0.047,,0.054,,0.061,,0.153,,0.171,,0.133,,0.161,,3086.273,,3174.201,,3263.655,,4680.721,,5360.664,,9102.798,,9602.763,,79679.66,,113770.3,,153015.3,,1352957,,1917030,,2761664,,3755845,,0.0945120283719146,0.0709085847829305
54.0,59812.4185728,,1.199,,5,,6,,7,,21,,25,,30,,35,,29.699,,29.636,,29.567,,29.322,,29.386,,28.796,,28.691,,0.04,,0.045,,0.049,,0.14,,0.19,,0.145,,0.168,,3667.76,,3885.246,,4142.236,,5190.068,,4892.353,,8425.131,,9278.074,,80782.08,,114921.5,,155016.2,,1361774,,1927898,,2777105,,3777328,,0.0743961782780385,0.0597464875854481
55.0,59812.4225348,,1.194,,5,,6,,7,,21,,25,,30,,35,,29.825,,29.738,,29.675,,29.298,,29.16,,28.618,,28.374,,0.046,,0.05,,0.055,,0.14,,0.158,,0.126,,0.128,,3275.567,,3548.215,,3758.67,,5318.26,,6042.252,,9951.319,,12459.38,,80326.09,,114388.8,,154526.3,,1360427,,1926274,,2774942,,3775936,,0.0818294926498138,0.066817436355579
